title,company,location,salary,description,role,skills,source
Data Analyst,Hdfc Bank,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Talent Corner Hr Services,Mumbai,300000.0-600000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Fortune Global 500 Mnc In Financial Services,Mumbai,3000000.0-3500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Drip Capital,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Leading Client,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Analyst, Data",Arise Virtual Solutions,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Kennect Solutions,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Engineer/Data Analyst,Navigators Software,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Smollan Group,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst Opendata Commercial,Veeva Consumer Products,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Caliche,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Vipany Management Consulting,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Verification Analyst,Foundation Ai,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Posted By- The Glove,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Servicenow Developer - Cmdb Data Analyst,Shashwath Solution,Mumbai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst 38 Lakhs Ctc || Srinivasa Reddy Kandi,Integra Technologies,Hyderabad,3500000.0-3750000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Optum,Hyderabad,1300000.0-1900000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - L3,Wipro,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Manpower Group,Hyderabad,20,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Hitachi Digital Services,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - L4,Wipro,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,S&P Global Market Intelligence,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Complete Open Source Solutions (Coss),Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Ikf Finance,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Omega Healthcare,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Client Data Analyst,Jpmorgan Chase Bank,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst & Ai Specialist,It Industry,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Curious For Tomorrow,Hyderabad,2500000.0-4000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Mks Vision,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Verisk,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Top Mnc,Hyderabad,1500000.0-3000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Teksystems,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Hyderabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Capgemini,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - A,Capgemini,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Hiring For Data Analyst Role In Top Companies For Pune Location,Hiring For Data Analyst Role In Top Companies For Pune Location,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Governance Analyst,Barclays,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Cummins,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Aumni Techworks,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Data Axle Solutions,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Top Rated Firm In Advertising & Marketing Sector,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Vipany Management Consulting,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Disha Consultant,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst Logistics Domain,Elevati Infotech,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Modeler/Data Analyst,Smartavya Analytica,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Globallogic,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Anutham Technologies,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Bot Consulting,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Leading Client,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,For Mnc,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Data Analyst (Netsuite, Workday, Snowflake)",Leading Client,Pune,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Client Of Internaciarekruto,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst 38 Lakhs Ctc || Srinivasa Reddy Kandi,Integra Technologies,Chennai,3500000.0-3750000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Services,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Job Openings For Data Analyst,Randstad Digital,Chennai,700000.0-1000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Markets,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Hitachi Energy,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Cynosure Corporate Solutions,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Gs1 India,Chennai,900000.0-1500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Engineer / Analyst,We Shine Academy,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Vestas,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Leading Client,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - Gurugram,Infosys,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Salesforce Data Analyst,Fe Fundinfo,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Disha Consultant,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Agricultural Data Scientist & Analyst,Agricps,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Top Mnc,Chennai,1500000.0-3000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Photon,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Data Analyst (Netsuite, Workday, Snowflake)",Leading Client,Chennai,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Digital Glyde,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Wipro,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Novel Office,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Legal Outsourcing 2.0,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Sheer Analytics And Insights,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Webkit24,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Analyst, Data",Arise Virtual Solutions,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Cindrebay School Of Fashion & Interior Design,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Vixplor Analytics,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Caliche,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Inspira Enterprise India,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Business Brio,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Kyc Client Data Analyst,Jpmorgan Chase Bank,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Verification Analyst,Foundation Ai,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Energytech Ventures,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst/Engineer I 6 To 12 Years I Pan India,Capgemini,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Site Data Analyst,Apraava Renewable Energy,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Data Analyst (Netsuite, Workday, Snowflake)",Leading Client,Kolkata,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,S&P Global,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Services,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Fleetx,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,S&P Global Market Intelligence,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Legistify,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Nits Solutions,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Lgbt+ Event),Natwest Markets,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Deployment),Legistify,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Decisiontree Analytics & Services,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Sharechat,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Pinkerton,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
"Data Analyst, South Apac",Criteo,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Procurement Data Analyst,G4S Corporate Services (India),Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Agilent Technologies,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Fabel Services Pvt Ltd.,Gurgaon,1000000.0-1500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Us Mnc,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Engineer/ Data Analyst,Prosperitybehavioral India Pvt Ltd,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Riktam Technology Consulting,Gurgaon,850000.0-1800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Orange Business Services,Gurgaon,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,G4S,Gurgaon,400000.0-650000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Optum,Noida,2000000.0-2500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Oscillate Infotech,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Barclays,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - A,Capgemini,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Paytm,Noida,700000.0-900000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Toppersedge.Com India,Noida,1400000.0-1600000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Claight Corporation Expert Market Research,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - Looker,Tetrahed,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Achnet,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Riktam Technology Consulting,Noida,850000.0-1800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Idemia Syscom,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Facts N Data,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst(Female) Greater Noida Mail At Devendra@Cmp.Co.In,Cybernetic Management Professionals,Noida,650000.0-800000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Converge Staffing Solutions,Noida,1800000.0-2000000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Globallogic,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Magic Bus,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst - Spotfire,Sophos It Services,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst-6+Yrs-Bangalore,A Global Digital Engineering Company Delivering Technology,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
3Rd Party External Data Acquisition Analyst,Fcs Software Solutions,Noida,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Invent Arc,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Astral Pipes,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst (Campus Hiring),S&P Global Market Intelligence,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,S&P Global Market Intelligence,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Uminber,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Navkar Digital Institute,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Mobpair Technologies,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Procurement Data Analyst,Empoweringcpo Services,Ahmedabad,300000.0-500000.0,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
Data Analyst,Leading Client,Ahmedabad,Not Disclosed,No description,Data-Analyst,"Excel, SQL, Python, Tableau, Power BI, Statistics",Naukri
